徐蓓蓓,基于本体的突发事件舆情知识库建设研究,突发事件/网络舆情知识库/本体/UML映射
田俊静,基于决策树方法的网络舆情反转识别与实证研究,决策树/网络舆情/舆情反转/实证研究/分类属性
马溯川,新媒体时期涉军网络舆情态势趋向及治理路径——以“老虎团涉嫌猥亵幼童”事件为例,新媒体/涉军网络舆情/治理路径
王璟琦,基于空间自相关的网络舆情话题演化时空规律分析,空间自相关/Moran\'sⅠ统计量/LDA模型/话题演化/网络舆情
王秀芳,一种基于话题聚类及情感强度的微博舆情分析模型,舆情分析/情感分析/话题聚类/情感强度分析
申辰瑜,基于联合国气候变化大会的英国主流媒体涉华舆情研究,联合国气候变化大会/英国媒体/涉华舆情/批评话语分析/中国形象
何绯娟,基于要素图的舆情事件线索化方法研究,舆情/事件线索化/事件关联/要素图/百度百科
王晰巍,新媒体环境下社会公益网络舆情传播研究——以新浪微博“画出生命线”话题为例,新媒体/社会公益/网络舆情/信息传播/社会网络
周松青,中美网络舆情监控比较,网络舆情/监控/中美比较
魏静,个体视角下的网络舆情传递链路预测分析,链路预测/舆情个体/无标度网络/BBS网络
陈福集,基于E-Divisive的网络舆情演化分析,网络舆情/时间序列/阶段划分/EDivisive/舆情演化
杜洪涛,互联网数据在舆情研判中的效用研究,网络舆情/舆情研判/互联网数据/Web数据挖掘/效用分析
丁晟春,基于知识库和主题爬虫的南海舆情实时监测研究,领域知识库/主题爬虫/网络舆情监测/南海问题
陈福集,网络舆情事件的话题演化分析——以成都女司机为例,网络舆情/话题演化/衍生效应/子话题识别/话题模型
赵珞琳,我国网络舆情系统存在的功能性问题及对策,网络舆情/舆情监测/舆情系统
黄微,网络舆情信息的衍变话题细分及组配规律研究,舆情/复杂网络/互信息/话题分析
杨爱东,基于Hadoop的微博舆情监控系统模型研究,舆情监控/Hadoop/微博/大数据
游丹丹,基于改进粒子群和BP神经网络的网络舆情预测研究,网络舆情/网络舆情预测/粒子群算法/BP神经网络
李根强,基于社群用户特征的网络舆情传播趋势分析,网络社群/网络舆情/舆情传播/Agent/关系强度/社群认同
岑咏华,大数据环境下社会舆情分析与决策支持的研究视角和关键问题,社会舆情分析/政府决策支持/研究视角/关键问题/大数据
王曰芬,面向政府决策需求的社会舆情信息语义组织研究,政府决策需求/社会舆情信息/本体/语义组织
廖海涵,社交媒体舆情信息传播效果影响因素研究——以新浪微博“8.12天津爆炸”事件为例,信息传播/社交媒体/影响因素/假设验证
王亚民,基于BTM的微博舆情热点发现,热点发现/词对主题模型/短文本/微博舆情/相似性度量
况湘玲,舆情传播对于复杂信任网络信任度的影响研究,复杂网络/信任网络/舆情传播/信任度
黄炜,面向复合维信息特征的微博舆情事件感知方法,微博/主题挖掘/LDA/社交网络/舆情监测
宋余超,面向主题分类的网络舆情博弈形成机制研究——基于三主体研究,网络舆情/主题分类/三方博弈/形成机制
王兰成,基于网络舆情分析的突发事件情报支援研究,情报支援/网络舆情/突发事件/信息系统
苏创,基于不确定微分方程的网络舆情传播模型研究,网络舆情/不确定动态系统/不确定过程/不确定微分方程
陈福集,基于系统动力学的网络舆情事件传播研究,网络舆情/SIR模型/系统动力学
盛宇,微博舆情跨域周期波动实证研究,微博/舆情/线上线下/周期波动/雾霾
成俊会,基于信息风险感知的社交网络舆情传播模型研究,信息风险感知/社交网络/舆情传播模型/传播概率/获知概率/仿真
王君泽,基于网页转载关系判别的网络舆情传播态势分析,网络舆情/转载网页/主题抽取/核函数/舆情传播/舆情研判
詹必胜,基于信息安全的网络图像舆情分析与识别研究,网络舆情/舆情监管/信息安全/数字指纹/数字水印
郭勇陈,基于意见领袖的网络论坛舆情演化多主体仿真研究,网络论坛/舆情演化/NetLogo/多主体建模与仿真/意见领袖
陈晓美,网络舆情观点提取的LDA主题模型方法,网络舆情/LDA/主题模型/语义/观点
李磊,面向舆情主题的微博用户行为聚类实证分析,网络舆情/微博/用户行为/主题/聚类/实证分析
曹学艳,网络论坛视角下突发事件舆情的关键节点识别及分类研究,突发事件/网络舆情/关键节点/网络论坛
张玥,突发公共事件舆情传播特征与规律研究——以新浪微博和新浪新闻平台为例,突发公共事件/网络舆情/微博客/网络新闻/传播特征
曾润喜,网络舆情传播阶段与模型比较研究,网络舆情/舆情传播/演变模型/技术模型
潘芳,基于BP神经网络的微博网络社群突发舆情的预警监控,微博舆情/BP神经网络/预警监控/网络社群/突发舆情/网络舆情
孙宁,WoS视域下国际网络舆情研究知识图谱分析,网络舆情/前沿主题/知识基础/知识图谱
陈福集,一类新SEIRS模型上的网络舆情传播行为研究,网络舆情/SEIRS模型/传播阈值/控制对策
高航,政府重大投资项目舆情风险预警指标体系研究,舆情风险/预警指标体系/政府重大投资项目
