徐蓓蓓,基于本体的突发事件舆情知识库建设研究
田俊静,基于决策树方法的网络舆情反转识别与实证研究
马溯川,新媒体时期涉军网络舆情态势趋向及治理路径——以“老虎团涉嫌猥亵幼童”事件为例
王璟琦,基于空间自相关的网络舆情话题演化时空规律分析
王秀芳,一种基于话题聚类及情感强度的微博舆情分析模型
申辰瑜,基于联合国气候变化大会的英国主流媒体涉华舆情研究
何绯娟,基于要素图的舆情事件线索化方法研究
王晰巍,新媒体环境下社会公益网络舆情传播研究——以新浪微博“画出生命线”话题为例
周松青,中美网络舆情监控比较
魏静,个体视角下的网络舆情传递链路预测分析
陈福集,基于E-Divisive的网络舆情演化分析
杜洪涛,互联网数据在舆情研判中的效用研究
丁晟春,基于知识库和主题爬虫的南海舆情实时监测研究
陈福集,网络舆情事件的话题演化分析——以成都女司机为例
赵珞琳,我国网络舆情系统存在的功能性问题及对策
黄微,网络舆情信息的衍变话题细分及组配规律研究
杨爱东,基于Hadoop的微博舆情监控系统模型研究
游丹丹,基于改进粒子群和BP神经网络的网络舆情预测研究
李根强,基于社群用户特征的网络舆情传播趋势分析
岑咏华,大数据环境下社会舆情分析与决策支持的研究视角和关键问题
王曰芬,面向政府决策需求的社会舆情信息语义组织研究
廖海涵,社交媒体舆情信息传播效果影响因素研究——以新浪微博“8.12天津爆炸”事件为例
王亚民,基于BTM的微博舆情热点发现
况湘玲,舆情传播对于复杂信任网络信任度的影响研究
黄炜,面向复合维信息特征的微博舆情事件感知方法
宋余超,面向主题分类的网络舆情博弈形成机制研究——基于三主体研究
王兰成,基于网络舆情分析的突发事件情报支援研究
苏创,基于不确定微分方程的网络舆情传播模型研究
陈福集,基于系统动力学的网络舆情事件传播研究
盛宇,微博舆情跨域周期波动实证研究
成俊会,基于信息风险感知的社交网络舆情传播模型研究
王君泽,基于网页转载关系判别的网络舆情传播态势分析
詹必胜,基于信息安全的网络图像舆情分析与识别研究
郭勇陈,基于意见领袖的网络论坛舆情演化多主体仿真研究
陈晓美,网络舆情观点提取的LDA主题模型方法
李磊,面向舆情主题的微博用户行为聚类实证分析
曹学艳,网络论坛视角下突发事件舆情的关键节点识别及分类研究
张玥,突发公共事件舆情传播特征与规律研究——以新浪微博和新浪新闻平台为例
曾润喜,网络舆情传播阶段与模型比较研究
潘芳,基于BP神经网络的微博网络社群突发舆情的预警监控
孙宁,WoS视域下国际网络舆情研究知识图谱分析
陈福集,一类新SEIRS模型上的网络舆情传播行为研究
高航,政府重大投资项目舆情风险预警指标体系研究
赵金楼,基于用户感知、偏好和涉入的微博舆情传播意愿影响因素研究
张玥,基于ELM模型的微博舆情传播影响因素研究——以新浪微博为例
王旭仁,基于改进聚类算法的网络舆情分析系统研究
高航,政府重大投资项目舆情传播与舆情风险关系研究
李天龙,微博舆情生成机制研究
陈涛,一种基于在线评论共现特征词的舆情事件相关度计算方法
刘继,面向舆情主题的微博用户网络影响力挖掘分析
方付建,网络舆情研究中量化方法应用态势分析
高航,基于系统动力学的网络舆情风险模型仿真研究
詹建,基于主题河的网络舆情可视化关联分析方法
邹伟,网络新闻中黄岩岛争端事件舆情研究——以新浪网“中菲黄岩岛争端”专题为例
唐子茜,基于网络舆情的社会心态及调适机制研究——以我国中部某地级市互联网百姓论坛为例
陈涛,基于模糊元胞自动机的网络舆情演化模型
沈阳,基于复杂因子的网络舆情推演研究
叶平浩,基于知识图谱的网络舆情研究现状分析
陈涛,基于搜索引擎关注度的网络舆情时空演化比较分析——以谷歌趋势和百度指数比较为例
王林,基于突发事件的微博集群行为舆情感知实验
曹学艳,基于最小二乘法的突发事件网络舆情演化规律研究
刘继,基于微博用户转发行为的舆情信息传播模式分析
陈福集,系统动力学视角下政府回应网络舆情的能力提升研究
曹树金,网络舆情突发异常识别及关键算法研究
曹树金,网络舆情主题标引算法与实现
曹树金,网络舆情意见挖掘中极性词典构建和极性识别方法研究
曹树金,网络舆情监控系统中的主题帖自动标引及情感倾向分析研究
王根生,网络舆情群体极化动力模型与仿真分析
高承实,基于主题分类的网络舆情观测指数体系研究
张玉亮,基于发生周期的突发事件网络舆情风险评价指标体系
李嘉,网络舆情冲突类言语行为研究
狄国强,网络舆情事件的系统动力学模型与仿真
邓尚民,基于AHP的高校网络舆情安全评估指标体系构建研究
兰月新,突发事件网络舆情谣言传播规律模型及对策研究
姚长青,基于主题的舆情跟踪方法研究及性能评价
黄炜,网络舆情主题信息采集研究
阎宇,信息孤岛背景下提高地方政府网络舆情应对能力的对策性思考
钱颖,微博舆情传播规律研究
石进,企业竞争情报系统建设中的舆情监控研究
崔薇,中国网络舆情研究文献计量分析
张一文,非常规突发事件网络舆情热度评价体系研究
王根生,迁移元胞自动机网络舆情演化模型(M2CA)
钱庆,主题追踪在医药卫生体制改革舆情监测系统中的应用
高承实,微博舆情监测指标体系研究
董亚倩,基于社会网络分析的网络舆情主体挖掘研究
陈焱,网络舆情话题的数据立方体模型分析
陈忆金,网络舆情信息监测研究进展
陈桂鸿,网络舆情信息提取与预处理研究
王兰成,舆情搜索引擎中网页信息的采集与抽取研究
高承实,网络舆情几个基本问题的探讨
李纲,Web2.0环境下企业网络舆情传播过程的研究及实证分析
李弼程,网络舆情态势分析模式研究
宗利永,危机沟通环境中网络舆情演变的Multi-Agent建模研究
宗利永,基于注意力资源分配机制的网络危机舆情演变研究
朱恒民,互联网舆情演化的动态网络模型研究
范立国,公共信息网络舆情智能分析系统的分析与设计
